ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10,HSCode,CountryOfOrigin
"60001429","# 21 Female 4pt","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001429",0.0000,0.0000,Main,Voestalpine USA,"60001429","",227.5500000,437.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,349.5805,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60000544","# 21 Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60000544",0.0000,0.0000,Main,Voestalpine USA,"60000544","",143.7100000,276.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,220.7788,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60002061","# 22 Female 4pt","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60002061",0.0000,0.0000,Main,Voestalpine USA,"60002061","",227.5500000,437.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,349.5805,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60000546","# 22 Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60000546",0.0000,0.0000,Main,Voestalpine USA,"60000546","",143.7100000,276.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,220.7788,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60000548","# 23 Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60000548",0.0000,0.0000,Main,Voestalpine USA,"60000548","",143.7100000,276.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,220.7788,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60002665","# 24 Female 4pt","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60002665",0.0000,0.0000,Main,Voestalpine USA,"60002665","",227.5500000,437.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,349.5805,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60001161","# 24 Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001161",0.0000,0.0000,Main,Voestalpine USA,"60001161","",143.7100000,276.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,220.7788,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60001830","# 25 Female 4pt","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001830",0.0000,0.0000,Main,Voestalpine USA,"60001830","",227.5500000,437.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,349.5805,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60000551","# 25 Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60000551",0.0000,0.0000,Main,Voestalpine USA,"60000551","",143.7100000,276.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,220.7788,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60001377","#10 Female","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001377",0.0000,0.0000,Main,Voestalpine USA,"60001377","",179.6400000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60001378","#10 Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001378",0.0000,0.0000,Main,Voestalpine USA,"60001378","",179.6400000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60000250","#11 Dovetail Extension","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60000250",0.0000,0.0000,Main,Voestalpine USA,"60000250","",203.0500000,390.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,330.5035,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60002030","#11 Female","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60002030",0.0000,0.0000,Main,Voestalpine USA,"60002030","",179.6400000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60000240","#2 Eccentric Back Post","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60000240",0.0000,0.0000,Main,Voestalpine USA,"60000240","",158.2500000,304.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,257.5827,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60001572FM","#21 Female 4pt clearance","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001572FM",0.0000,0.0000,Main,Voestalpine USA,"60001572FM","",263.4800000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60001572","#21 Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001572",0.0000,0.0000,Main,Voestalpine USA,"60001572","",179.6400000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60001571","#21-L Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001571",0.0000,0.0000,Main,Voestalpine USA,"60001571","",282.6400000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60001558FM","#22 Female 4pt clearance","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001558FM",0.0000,0.0000,Main,Voestalpine USA,"60001558FM","",263.4800000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60001558","#22 Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001558",0.0000,0.0000,Main,Voestalpine USA,"60001558","",179.6400000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60001430","#23 Female 4pt","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60001430",0.0000,0.0000,Main,Voestalpine USA,"60001430","",227.5500000,437.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,349.5805,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60000611FM","#23 Female 4pt clearance","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60000611FM",0.0000,0.0000,Main,Voestalpine USA,"60000611FM","",263.4800000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60000611","#23 Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60000611",0.0000,0.0000,Main,Voestalpine USA,"60000611","",179.6400000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60002034","#26 Female","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60002034",0.0000,0.0000,Main,Voestalpine USA,"60002034","",179.6400000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"60002003","#26 Male","Diemaking","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"60002003",0.0000,0.0000,Main,Voestalpine USA,"60002003","",179.6400000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","","","","False","","False","False","FALSE","","","","","","","","","","","","Consumables and Accessories,Not Stocked","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"19892","#409 .7mm DREMEL NICKING WHEEL","Diecutting","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"",0.0000,0.0000,Main,,"","",0.0000000,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.1000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","YD00409","","","","","","False","FALSE","","","","","","","","","","","","Obsolete","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"19893","#420 1.mm DREMEL NICKING WHEEL","Diecutting","Seaga",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,cm,"",0.0000,0.0000,Main,,"","",0.0000000,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.1000,Each,640: Stock on Hand (Dear),,,300: COGS (Seaga),"Product Additional Attributes","YD00420","","","","","","False","FALSE","","","","","","","","","","","","Obsolete","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
